PubChem CID,IC50 (nM),pIC50,Ligand SMILES
136214491,0.52,9.284,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3C[C@H](C)O[C@@H](C)C3)c(C)c2)c2c1cc[nH]c2=O
136214447,0.54,9.2676,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc3c(CN(C4CCOCC4)S3(=O)=O)c2)c2c1cc[nH]c2=O
90367212,0.55,9.2596,NC(=O)c1cn(nc1Nc1cnc2C(=O)NCc2c1)[C@H]1CCCC[C@@H]1C#N
136214496,0.56,9.2518,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCC(CC3)N3CCSCC3)c(C)c2)c2c1cc[nH]c2=O
146011961,0.57,9.2441,CC(C)NC(C)(C)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)OC(C)(C)C)cc1
146011836,0.58,9.2366,O=c1[nH]ccc2n(nc(Nc3ccc(cc3)C#N)c12)C1(CC#N)CCCC1
146676283,0.59,9.2291,FC(F)(F)COCC1CCC(CC1)N1C=CC(=O)C2C=Nc3[nH]ccc3C12
89471023,0.6,9.2218,CC(C)([C@@H](O)C(F)(F)F)c1ccc(Nc2nn(cc2C(N)=O)[C@H]2CCCC[C@@H]2C#N)cc1
136214486,0.61,9.2147,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCOC(C)(C)C3)c(C)c2)c2c1cc[nH]c2=O
136214450,0.62,9.2076,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)c(C)c2)c2c1cc[nH]c2=O
146011804,0.63,9.2007,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CCCC[C@H]2F)cc1
146012043,0.64,9.1938,COC(=O)N1CCC(CC#N)(CC1)n1nc(Nc2ccnc(F)c2)c2c1cc[nH]c2=O
146011939,0.66,9.1805,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCOCC2)cc1
146676284,0.68,9.1675,FC(F)(F)CCOCC1CCC(CC1)N1C=CC(=O)C2C=Nc3[nH]ccc3C12
136215120,0.7,9.1549,CCc1cc(O)c(F)cc1-c1cc2[nH]ncc2c(NCc2ccccc2N(C)S(=O)(=O)CC)n1
146012111,0.71,9.1487,CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1nc(Nc2ccc(cc2)[C@@]2(CCCCN2)C(F)(F)F)c2c1cc[nH]c2=O
146011938,0.72,9.1427,CN(C(C)(C)C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCOCC2)cc1
146011993,0.73,9.1367,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(Cc3ccc(cc3)N3CCCC3=O)CC2)cc1
146676285,0.74,9.1308,FC(F)(F)[C@H](CC#N)OCC1CCC(CC1)N1C=CC(=O)C2C=Nc3[nH]ccc3C12
146011874,0.75,9.1249,COC(C)(c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@]2(CC#N)CC[C@H](OC2)C(=O)OC(C)(C)C)cc1)C(F)(F)F
146012110,0.77,9.1135,CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1nc(Nc2ccc3c(CN(C4CCN(CC(F)(F)F)CC4)S3(=O)=O)c2)c2c1cc[nH]c2=O
136214493,0.79,9.1024,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCCSCC3)c(C)c2)c2c1cc[nH]c2=O
90367344,0.8,9.0969,C[C@H](N[C@@H]1CC[C@@H]([C@H](C1)C#N)n1cc(C(N)=O)c(Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)n1)C1CC1
146012013,0.81,9.0915,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)c2ccccc2Cl)cc1
146011765,0.82,9.0862,CC(C)(C)OC(=O)N1CC(CC#N)(C1)n1nc(Nc2ccc(cc2)S(C)(=O)=O)c2c1cc[nH]c2=O
146011880,0.84,9.0757,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@]2(CC#N)COCC[C@@H]2F)cc1
78324306,0.85,9.0706,CN1CN([C@H]2CC[C@H](COCCC#N)CC2)c2c(cnc3[nH]ccc23)C1=O
78319925,0.88,9.0555,CS(=O)(=O)NC[C@H]1CC[C@@H](CC1)N1CN(CC(F)(F)F)C(=O)c2cnc3[nH]ccc3c12
91937381,0.9,9.0458,COc1ncc(cn1)-c1cc2c(N[C@@H]3CN(C[C@@H]3CF)C(=O)C3(CC3)C#N)c(cnn2c1)C(N)=O
136214492,0.93,9.0315,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCOC[C@H]3C(C)C)c(C)c2)c2c1cc[nH]c2=O
146012105,0.97,9.0132,CO[C@@H](c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)OC(C)(C)C)cc1)C(F)(F)F
146011847,0.98,9.0088,CCN(C(C)(C)C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCCC2)cc1
136214487,0.99,9.0044,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCOC4(CCCC4)C3)c(C)c2)c2c1cc[nH]c2=O
90367193,1,9,NC(=O)c1cn(nc1Nc1ccc2C(=O)N(CC(F)(F)F)Cc2c1)[C@@H]1CCCC[C@H]1C#N
146012014,1.05,8.9788,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)Cc2ccc(cc2)C(F)(F)F)cc1
