PubChem CID,IC50 (nM),pIC50,Ligand SMILES
117920410,110,6.9586,CCSc1ccc(Cl)cc1CNC(=O)c1cc(Cl)cc(OC(F)(F)F)c1
122504971,110,6.9586,CCS(=O)(=O)c1ccc(Cl)cc1Cn1cnc2c(F)c(CN3CCNCC3)c(cc2c1=O)C(F)(F)F
145713147,114,6.9431,Cc1nc(CN2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)C2=O)cs1
132546210,116,6.9355,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(C)c(OC3CCN(CC3)C(=O)c3ccc(C)nc3)c2)CC1
72195213,120,6.9208,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cncc(c1)C(F)(F)F
130301848,121,6.9172,COc1cccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3cnc4[nH]ncc4c3)c12
127043948,126,6.8996,Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1OC1CCN(CC1)C(=O)c1ccncc1
89879850,130,6.8861,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCC[C@@H](C2)NC(=O)c2ccccn2)c(c1)C(F)(F)F
89879994,130,6.8861,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CC3(C2)CNCCO3)c(c1)C(F)(F)F
117920548,130,6.8861,CCSc1ccc(Cl)cc1CNC(=O)c1cc(Br)cc(c1)C(F)(F)F
130364484,132,6.8794,CC1CN(Cc2cc(ccc12)C(=O)Nc1cc(cc(c1)C(F)(F)F)N1CCN(C)CC1)c1cncnc1
139030518,135,6.8697,COc1cc2nccc(Oc3ccc(NC(=O)Cc4ccc(Cl)c(c4)C(F)(F)F)cc3)c2cc1OC
89879821,140,6.8539,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(OC)c(CN2CCNCC2)c(c1)C(F)(F)F
89879938,140,6.8539,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(OC(C)=O)c(c1)C(F)(F)F
89879944,140,6.8539,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(OC2CCCNC2)c(c1)C(F)(F)F
117920478,150,6.8239,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(OC(F)(F)F)cc(c1)N1CC[C@H](C1)NC(C)=O
122187122,150,6.8239,O=C(NCc1cccc(NC(=O)c2cnc3ccccn23)c1)Nc1ccccc1
145950906,151,6.821,CCc1ccc(cc1C#Cc1ccoc1)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
145713152,155,6.8097,Fc1ccc(cc1)-c1noc(CN2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)C2=O)n1
145713157,158,6.8013,Cc1oc(nc1CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O)C(C)(C)C
117920926,160,6.7959,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(OC(F)(F)F)cc(c1)N1CCOCC1
117921029,160,6.7959,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CC[C@H](C2)NC(C)=O)c(Br)c1
71577234,164,6.7852,Oc1cccc(Nc2ccnc3cc(sc23)-c2cccc(CN3CCOCC3)c2)c1
122504960,170,6.7696,CCS(=O)(=O)c1ccc(Cl)cc1Nn1cnc2c(Cl)c(CN3CCN(CC3)C3CCOCC3)c(Br)cc2c1=O
117920481,180,6.7447,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(OC(F)(F)F)cc(c1)N1CC[C@@H](C1)NS(C)(=O)=O
145713158,184,6.7352,CC(C)(C)c1nsc(CN2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)C2=O)n1
117921099,190,6.7212,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCN(CC2)C2CCOCC2)c(Br)c1
122505196,190,6.7212,CCS(=O)(=O)c1ccc(Cl)cc1Cn1cnc2ccc(OC(F)(F)F)cc2c1=O
117922276,200,6.699,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(F)c(CN3CCN(C)CC3)c(OC(F)(F)F)cc2c1=O
155295551,204,6.6904,Cc1cccc2N(CC(=O)N3CCC[C@H]3C(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3cc4cn[nH]c4cn3)c12
124185557,208,6.6819,FC(F)(F)Cn1ccc(NC(=O)CN2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3cnc4[nH]ncc4c3)C2=O)n1
72195072,210,6.6778,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(Br)c(c1)C(F)(F)F
89879834,210,6.6778,CCS(=O)(=O)c1ccc(cc1CNC(=O)c1cc(Cl)cc(c1)C(F)(F)F)C#N
71764060,235,6.6289,CC(C)(C)c1cc(NC(=O)Nc2cccc(Nc3ncnc4ccccc34)c2)n(n1)-c1cccc(N)c1
117922255,240,6.6198,CCS(=O)(=O)c1ccc(Br)cc1Cn1c(=O)[nH]c2c(Cl)cc(cc2c1=O)C(F)(F)F
117920603,250,6.6021,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(OC(F)(F)F)cc(c1)N1CCNC(C)(C)C1
137537567,261,6.5834,COC(=O)[C@@H]1CC(F)(F)CN1C(=O)CN1C(=O)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)c2c1cccc2C
122633900,265,6.5768,CNc1nc(Nc2ccc(C)c(NC(=O)C=C)c2)ncc1C(=O)Nc1cc(NC(=O)c2cc(OC)c(OC)c(OC)c2)ccc1C
122634050,292,6.5346,CNc1nc(Nc2ccc(C)c(N)c2)ncc1C(=O)Nc1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
117920849,310,6.5086,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CC[C@H](C2)N(C)S(C)(=O)=O)c(Br)c1
145713167,311,6.5072,O=C(CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O)N1CCC(C1)n1cncn1
89879835,320,6.4949,FC(F)(F)c1cc(Cl)cc(c1)C(=O)NCc1cc(Cl)ccc1Sc1ccccc1
118042726,330,6.4815,FC(F)(F)Oc1ccc2ncn(Nc3cc(Cl)ccc3S(=O)(=O)C3CC3)c(=O)c2c1
117920345,330,6.4815,CCS(=O)(=O)c1ccncc1CNC(=O)c1cc(Cl)cc(c1)C(F)(F)F
122504912,340,6.4685,CCS(=O)(=O)c1ccc(Cl)cc1Cn1cnc2cc(CN3CCNCC3)c(Cl)cc2c1=O
122504946,340,6.4685,CCS(=O)(=O)c1ccc(Cl)cc1Cn1cnc2c(Cl)c(C3OCCO3)c(cc2c1=O)C(F)(F)F
117922259,350,6.4559,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2cc(C(O)CO)c(cc2c1=O)C(F)(F)F
155552517,357,6.4473,CCc1ccc(cc1-c1cccc(c1)-c1cnc2cnccn12)C(=O)Nc1cccc(CN2CCN(C)CC2)c1
155510467,360,6.4437,CCc1ccc(cc1-c1cccc(c1)-c1cnc2ccnn2c1)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
72195352,370,6.4318,CCS(=O)(=O)c1ccc(Br)cc1CNC(=O)c1cccc(OC(F)(F)F)c1
117921075,370,6.4318,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(cc(c1)C(F)(F)F)N1CCN(C)CC1
89879824,380,6.4202,CCOc1ccc(c(NNC(=O)c2cc(Cl)cc(c2)C(F)(F)F)c1)S(=O)(=O)CC
89884342,380,6.4202,CCS(=O)(=O)c1ccc(OC)cc1Cn1c(=O)[nH]c2c(OC)c(CN3CCC[C@@H](C3)NC)c(cc2c1=O)C(F)(F)F
155295533,410,6.3872,COc1ccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c2n1
124185837,426,6.3706,O=C(CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)C1=O)N[C@H]1C[C@@H]1c1cccc(CN2CCOCC2)c1
118042741,450,6.3468,CCS(=O)(=O)c1ccc(Br)cc1Cn1cnc2c(Cl)cc(OC(F)(F)F)cc2c1=O
89880113,460,6.3372,CCS(=O)(=O)c1ccc(Cl)cc1NNC(=O)c1nc(oc1C(F)(F)F)-c1ccccc1
89879815,470,6.3279,CCS(=O)(=O)c1c(CNC(=O)c2cc(Cl)c(CN3CCC[C@@H](C3)NC)c(c2)C(F)(F)F)cc(Cl)cc1OC
71624793,470,6.3279,COc1ccccc1NC(=O)c1ccc(C)c(c1)C#Cc1cnc2ccnn2c1
117922099,500,6.301,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2cc(NC3CCNCC3)c(Br)cc2c1=O
89880060,510,6.2924,CCS(=O)(=O)c1ccc(Cl)cc1NNC(=O)c1ccc(NC2CCNCC2)c(OC)c1
89884364,540,6.2676,FC(F)(F)c1ccc2[nH]c(=O)n(Cc3cc(Cl)ccc3Sc3ccccc3)c(=O)c2c1
130364506,545,6.2636,CC1Cc2ccc(cc2CN1c1cncnc1)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
130364454,572,6.2426,CN1CCN(Cc2cc(NC(=O)c3ccc4CCN(Cc4c3)c3cnc4ccccc4c3)cc(c2)C(F)(F)F)CC1
117921945,580,6.2366,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(Cl)c(COS(C)(=O)=O)c(cc2c1=O)C(F)(F)F
89884372,590,6.2291,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2cc(OC3CCNCC3)c(Cl)cc2c1=O
118042899,590,6.2291,CCS(=O)(=O)c1ccc(cc1Nn1cnc2cc(CN3CCNCC3)c(OC(F)(F)F)cc2c1=O)C#N
117921996,600,6.2218,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(Cl)c(CN3CCN(CC3)C3CCOCC3)c(Br)cc2c1=O
145956925,614,6.2118,CCc1ccc(cc1C#Cc1cnc(nc1)N(C)C)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
118042930,670,6.1739,CCS(=O)(=O)c1ccc(cc1Cn1cnc2c(Br)cc(cc2c1=O)C(F)(F)F)C#N
72195074,680,6.1675,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(ccc1F)C(F)(F)F
145974090,695,6.158,CCc1ccc(cc1C#Cc1ccsc1)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
117922013,720,6.1427,CCSc1ccccc1Cn1c(=O)[nH]c2ccc(cc2c1=O)C(F)(F)F
89879956,780,6.1079,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(ccn1)C(F)(F)F
117920761,800,6.0969,CCS(=O)(=O)c1ccc(Br)cc1CNC(=O)c1cccc(c1)C(F)(F)F
89879964,810,6.0915,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccnc(c1)C(F)(F)F
145713148,897,6.0472,Cn1ccnc1CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
89879929,900,6.0458,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(Cc2cccc(N)c2)c(c1)C(F)(F)F
130301845,964,6.0159,Oc1cccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c12
117920758,1050,5.9788,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCN(CC2)C2CCOCC2)c(Cl)c1
89879836,1080,5.9666,FC(F)(F)c1cc(Cl)cc(c1)C(=O)NCc1cc(Cl)ccc1S(=O)c1ccccc1
124185787,1095,5.9606,O=C(N1CCC2(CC1)N(CN(Cc1cccc(n1)C#N)C2=O)c1ccccc1)c1cnc2[nH]ncc2c1
118042925,1110,5.9547,CCS(=O)(=O)n1cccc1Cn1cnc2ccc(cc2c1=O)C(F)(F)F
145954003,1200,5.9208,CCc1ccc(cc1C#Cc1ccco1)C(=O)Nc1cc(CN2CCN(C)CC2)cc(c1)C(F)(F)F
117921284,1240,5.9066,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)cc(CN2CCN(CC2)C2CCOCC2)c1
145713165,1346,5.871,Cc1nc(C)c(s1)N1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
117920679,1350,5.8697,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(CN2CCC[C@@H](C2)NS(C)(=O)=O)c(OC(F)(F)F)c1
118042884,1470,5.8327,CCS(=O)(=O)c1ccc(cc1Cn1ccc2ccc(cc2c1=O)C(F)(F)F)C#N
86763814,1500,5.8239,C[C@@H](NC(=O)Nc1ccccc1)c1ccc(C)c(NC(=O)c2cnc3ccccn23)c1
89880011,1690,5.7721,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cnn(c1-n1cccc1)-c1ccccc1
118042957,1800,5.7447,CCS(=O)(=O)c1ccc(cc1Nn1cnc2ccc(cc2c1=O)C(F)(F)F)C#N
145713183,1848,5.7333,FC(F)(F)c1ccc(Cl)c(c1)N1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
118043065,1900,5.7212,CCS(=O)(=O)c1ccc(Br)cc1Cn1cnc2ccc(OC(F)(F)F)cc2c1=O
89879581,1980,5.7033,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCCNC2=O)c(c1)C(F)(F)F
89880088,2100,5.6778,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCNCC2)c(OC)c1
118042744,2130,5.6716,CCSc1ccc(OC)cc1Cn1cnc2c(Br)cc(cc2c1=O)C(F)(F)F
145713192,2134,5.6708,CC1(C)N(CC(=O)NCC(F)(F)F)C(=O)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)N1c1ccccc1
145713164,2308,5.6368,Cc1cc(N2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)C2=O)n(C)n1
117922104,2430,5.6144,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(CN3CCN(C)CC3)cc(Cl)cc2c1=O
129318936,2462,5.6087,CN(C)CCN(Cc1ccc(cc1)C(=O)Nc1ccc(C)c(Nc2nccc(n2)-c2cccnc2)c1)C(=O)c1cccnc1
122505218,2500,5.6021,CCS(=O)(=O)c1cnc(Cl)cc1Nn1cnc2ccc(cc2c1=O)C(F)(F)F
117920947,2540,5.5952,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Br)cc(c1)N1CCN(C)CC1
145713151,2650,5.5768,Cc1nnc(CN2CN(c3ccccc3)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)C2=O)o1
