PubChem CID,IC50 (nM),pIC50,Ligand SMILES
122452376,74.8,7.1261,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC1CCN(C)CC1
122452373,75.6,7.1215,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OC(C)C(C)C
122452238,76.5,7.1163,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(CC)c3ccccc3)c12
122452424,76.9,7.1141,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(N(C)C)c3)C(F)(F)F)c12
122452368,79,7.1024,CCCCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c12
122442862,79.5,7.0996,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(N4CCOCC4)c3)C(F)(F)F)c12
122452390,80,7.0969,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCN(C(C)=O)CC3)c12
122452462,80.4,7.0947,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccnc3)C(F)(F)F)c12
122452315,82.3,7.0846,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C(C)C)c12
122452225,83.2,7.0799,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)c1ccccc1
122452396,85.4,7.0685,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CC3)c12
137078895,86.2,7.0645,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1-c1nnc(C(C)(C)C)o1
122452542,86.3,7.064,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccc(N(C)C)cc3)C(F)(F)F)c12
137078901,86.4,7.0635,CC(=O)NCc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(C)(O)C4CC4)c23)o1
122452463,87.3,7.059,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)COC3)c12
137078892,88.1,7.055,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1-c1nnc(CCN(C)C)o1
137078885,88.8,7.0516,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1-c1nnc(CO)o1
122452413,89.9,7.0462,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ccncc3)c12
122452533,95.2,7.0214,CCOC(=O)c1c[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
137796687,96,7.0177,CNC(=O)c1cccc(C2=CN(C)C(=O)C3=NC=CC23)c1
122452485,96.9,7.0137,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccn(C)n3)C(F)(F)F)c12
122452243,98.1,7.0083,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)C(=O)N(C)c4ccccc43)c12
122452245,98.6,7.0061,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCOCC3)c12
122452384,99.8,7.0009,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)CC#N)c2c1C(=O)OCC(C)C
122452408,100,7,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CC#N)c12
122452311,100,7,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CO)c12
122452382,106,6.9747,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)CC#N)c2c1C(=O)OC(C)C
137151692,110,6.9586,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1-c1nnc(C(C)(C)O)o1
122452472,116,6.9355,C=CCCn1cc(C#CC(C)(C)O)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452226,116,6.9355,C=CCCn1cc(C#CC(C)(O)C2CC2)c2c(C(=O)OCC(C)C)c(C)[nH]c2c1=O
137078900,117,6.9318,CC(=O)NCc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(O)(c4ccccc4)C(F)(F)F)c23)o1
122452528,122,6.9136,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]cc(C(=O)OCC(C)C)c23)no1
122452314,122,6.9136,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3nccs3)c12
122452531,129,6.8894,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3cncn3C)c12
122442809,130,6.8861,CC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452468,133,6.8761,C=CCCn1cc(C#CC(C)(O)C2CC2)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452306,135,6.8697,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CC)c12
122452402,138,6.8601,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(CC)CC)c12
122452544,147,6.8327,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ncccn3)c12
122443009,147,6.8327,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C1=NCC(C)(C)O1
137078881,153,6.8153,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(-c4nnc(C)o4)c23)no1
122452525,155,6.8097,CCOC(=O)c1c(C)[nH]c2c(=O)n(CC3CC3)cc(C#CC(C)(C)O)c12
122452535,160,6.7959,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3nnc(C)o3)c12
122452220,169,6.7721,C=CCCn1cc(C#CC(C)(O)c2cc(C)on2)c2c(C(=O)OCC(C)C)c(C)[nH]c2c1=O
122442839,176,6.7545,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C1=NC(C(C)C)CO1
122452496,181,6.7423,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CCOC3)c12
122452231,181,6.7423,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CCOCC3)c12
122452313,181,6.7423,C=CCCn1cc(C#CC(C)(O)CC#N)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452230,187,6.7282,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3CCCCC3O)c12
122452394,189,6.7235,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)CO)c12
122452318,190,6.7212,C=CCCn1cc(C#CC(C)(O)c2cc(C)on2)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452235,209,6.6799,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCN(C)C3=O)c12
122452422,221,6.6556,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)C(N)=O)c12
122452471,227,6.644,C=CCn1cc(C#CC(C)(C)O)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452216,243,6.6144,C=CCCn1cc(C#CC(C)(O)c2cc(C)on2)c2c(C(=O)OCc3ccccc3C)c(C)[nH]c2c1=O
134165230,280,6.5528,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1C(=O)OCC(C)C
122452414,284,6.5467,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)OC)c12
122452406,286,6.5436,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cc(C)on3)c12
122452242,302,6.52,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3CCCC3O)c12
122452278,307,6.5129,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C1=NC(C(C)C)CO1
